,topic,name,user,star,fork,watch,issue,pull_requests,projects,topic_tag,discription_text,discription_url,commits,branches,packages,releases,contributers,License,url
68,java,jeecg-boot,zhangdaiscott,11.1k,4.2k,508,23,6,0,"['spring-boot', 'ant-design', 'mybatis', 'vue', 'ant-design-vue', 'jwt', 'shiro', 'redis', 'quartz', 'antd', 'mybatis-plus', 'jbpm', 'activiti', 'java', 'codegenerator', 'springcloud', 'swagger2', 'poi', 'iview', 'element']",基于代码生成器的JAVA快速开发平台，开源界“小普元”超越传统商业开发平台！前后端分离架构：SpringBoot 2.x，Ant Design&Vue，Mybatis-plus，Shiro，JWT。强大的代码生成器让前后端代码一键生成，无需写任何代码! 引领新开发模式(OnlineCoding-> 代码生成-> 手工MERGE)，帮助Java项目解决70%重复工作，让开发更关注业务逻辑，既能快速提高开发效率，帮助公司节省成本，同时又不失灵活性。,http://www.jeecg.com,268,9,0,0,0,Apache-2.0,https://github.com/zhangdaiscott/jeecg-boot
69,java,JavaFamily,AobingJava,11.1k,2.2k,547,7,1,0,"['java', 'java8', 'redis', 'mysql', 'jvm', 'interview', 'zookeeper', 'rocketmq', 'system']",【互联网一线大厂面试+学习指南】,,170,1,0,0,0,Fetching contributors,https://github.com/AobingJava/JavaFamily
70,java,bytecode-viewer,Konloch,11.1k,761,365,51,2,0,"['java-decompiler', 'apk', 'java', 'procyon', 'cfr', 'fernflower', 'krakatau', 'bytecode-viewer', 'bytecode', 'smali', 'baksmali', 'dex2jar', 'decompiler', 'recompiler', 'compiler', 'war', 'jsp']","A Java 8+ Jar & Android APK Reverse Engineering Suite (Decompiler, Editor, Debugger & More)",https://bytecodeviewer.com,294,1,0,0,48,GPL-3.0,https://github.com/Konloch/bytecode-viewer
71,java,androidannotations,androidannotations,11k,2.4k,692,42,0,,"['android', 'java', 'androidannotations', 'annotation-processor']",Fast Android Development. Easy maintainance.,http://androidannotations.org,"2,924",2,0,0,33,View license,https://github.com/androidannotations/androidannotations
72,java,vert.x,eclipse-vertx,11k,1.7k,611,189,59,0,"['vertx', 'java', 'netty', 'reactive', 'jvm', 'http2', 'concurrency', 'high-performance', 'nio', 'non-blocking', 'event-loop']",Vert.x is a tool-kit for building reactive applications on the JVM,http://vertx.io,"4,368",72,0,0,99,View license,https://github.com/eclipse-vertx/vert.x
73,java,MaterialDrawer,mikepenz,11k,2.1k,367,5,0,0,"['materialdrawer', 'drawer', 'java', 'navigation-drawer', 'android', 'material-design', 'drawerlayout', 'android-library', 'android-ui', 'drawer-support', 'material-ui', 'material-components', 'material-theme', 'android-development', 'mikepenz']","The flexible, easy to use, all in one drawer library for your Android project. Now brand new with material 2 design.",http://mikepenz.github.io/MaterialDrawer,"2,249",31,0,0,203,Apache-2.0,https://github.com/mikepenz/MaterialDrawer
74,java,realm-java,realm,10.9k,1.7k,386,400,24,,"['java', 'android', 'database', 'mobile', 'realtime-database', 'mobile-database', 'nosql-database']",Realm is a mobile database: a replacement for SQLite & ORMs,http://realm.io,"8,276",104,0,0,172,View license,https://github.com/realm/realm-java
75,java,infer,facebook,10.8k,1.5k,556,225,4,0,"['static-analysis', 'static-code-analysis', 'code-quality', 'java', 'c', 'cpp', 'objective-c']","A static analyzer for Java, C, C++, and Objective-C",http://fbinfer.com/,"7,962",9,0,0,29,MIT,https://github.com/facebook/infer
76,java,RxTool,Tamsiree,10.7k,2.7k,410,77,0,0,"['dialog', 'progressbar', 'toast', 'seat', 'shoppingview', 'likeview', 'java', 'tools', 'utils', 'qrcode', 'barcode', 'sidebar', 'netspeed', 'alipay', 'wxpay', 'wechatpay', 'share', 'zip4j']",Android开发人员不得不收集的工具类集合 | 支付宝支付 | 微信支付（统一下单） | 微信分享 | Zip4j压缩（支持分卷压缩与加密） | 一键集成UCrop选择圆形头像 | 一键集成二维码和条形码的扫描与生成 | 常用Dialog | WebView的封装可播放视频 | 仿斗鱼滑动验证码 | Toast封装 | 震动 | GPS | Location定位 | 图片缩放 | Exif 图片添加地理位置信息（经纬度） | 蛛网等级 | 颜色选择器 | ArcGis | VTPK | 编译运行一下说不定会找到惊喜,,791,1,0,0,190,Apache-2.0,https://github.com/Tamsiree/RxTool
77,java,libphonenumber,google,10.7k,1.4k,369,31,0,,[],"Google's common Java, C++ and JavaScript library for parsing, formatting, and validating international phone numbers.",,"1,741",8,0,0,122,View license,https://github.com/google/libphonenumber
